160.0.0.0/4	172.188.130.64/26	0.0.0.0/16	0.0.0.0/16		11
226.236.128.0/17	40.139.206.224/29	0.0.0.0/16	0.0.0.0/16		12
172.190.0.0/15	40.130.208.142/31	0.0.0.0/16	0.0.0.0/16		7
62.183.54.0/23	62.191.3.0/27	0.0.0.0/16	0.0.0.0/16		12
48.0.0.0/4	62.188.6.0/26	0.0.0.0/16	0.0.0.0/16		15
100.0.0.0/6	174.214.0.0/16	0.0.0.0/16	0.0.0.0/16		13
214.168.128.0/17	214.169.195.144/29	0.0.0.0/16	0.0.0.0/16		15
144.0.0.0/4	155.216.0.0/14	0.0.0.0/16	0.0.0.0/16		14
176.208.0.0/12	40.130.208.141/32	0.0.0.0/16	0.0.0.0/16		8
40.0.0.0/5	40.131.244.0/27	0.0.0.0/16	0.0.0.0/16		8
176.202.152.0/21	176.203.192.96/27	0.0.0.0/16	0.0.0.0/16		10
122.0.0.0/7	174.223.100.24/29	0.0.0.0/16	0.0.0.0/16		7
208.0.0.0/4	40.139.192.0/22	0.0.0.0/16	0.0.0.0/16		7
160.0.0.0/4	172.188.130.192/26	0.0.0.0/16	0.0.0.0/16		15
192.0.0.0/5	32.0.0.0/3	0.0.0.0/16	0.0.0.0/16		10
96.0.0.0/7	96.84.66.224/27	0.0.0.0/16	0.0.0.0/16		12
160.0.0.0/4	174.220.166.0/28	0.0.0.0/16	0.0.0.0/16		14
224.0.0.0/3	40.139.206.160/27	0.0.0.0/16	0.0.0.0/16		7
176.192.0.0/12	40.130.208.141/32	0.0.0.0/16	0.0.0.0/16		12
32.0.0.0/4	40.131.248.0/22	0.0.0.0/16	0.0.0.0/16		12
43.212.7.0/24	43.212.112.48/28	0.0.0.0/16	0.0.0.0/16		14
112.0.0.0/4	122.87.153.0/24	0.0.0.0/16	0.0.0.0/16		12
16.0.0.0/4	174.223.100.0/26	0.0.0.0/16	0.0.0.0/16		15
122.67.108.0/24	122.66.123.128/26	0.0.0.0/16	0.0.0.0/16		14
48.0.0.0/4	62.190.124.64/26	0.0.0.0/16	0.0.0.0/16		12
176.202.128.0/17	176.202.206.192/27	0.0.0.0/16	0.0.0.0/16		15
144.0.0.0/4	155.203.0.0/16	0.0.0.0/16	0.0.0.0/16		14
32.0.0.0/4	43.192.244.128/26	0.0.0.0/16	0.0.0.0/16		9
48.0.0.0/4	62.182.198.128/26	0.0.0.0/16	0.0.0.0/16		14
16.0.0.0/4	29.164.226.192/26	0.0.0.0/16	0.0.0.0/16		12
56.0.0.0/5	62.180.166.64/27	0.0.0.0/16	0.0.0.0/16		8
226.236.244.0/24	40.130.208.0/28	0.0.0.0/16	0.0.0.0/16		13
174.208.0.0/12	40.130.208.128/28	0.0.0.0/16	0.0.0.0/16		12
105.253.190.0/23	174.213.251.208/29	0.0.0.0/16	0.0.0.0/16		14
226.236.128.0/17	40.139.206.192/27	0.0.0.0/16	0.0.0.0/16		14
175.171.70.0/23	175.170.224.48/29	0.0.0.0/16	0.0.0.0/16		10
128.0.0.0/5	133.223.63.96/27	0.0.0.0/16	0.0.0.0/16		12
100.0.0.0/6	101.231.199.0/24	0.0.0.0/16	0.0.0.0/16		12
96.0.0.0/6	96.85.242.0/24	0.0.0.0/16	0.0.0.0/16		8
172.190.0.0/15	40.130.208.140/31	0.0.0.0/16	0.0.0.0/16		15
